IYR,IMO,RAILROAD,STATE,STATION,COUNTY,NARR1,NARR2,NARR3,NARR4,NARR5,NARR6,NARR7,NARR8,NARR9,NARR10,NARR11,NARR12,NARR13,NARR14,NARR15
19,11,UP,31,CENTRAL CITY,MERRICK,"UEY8DD-27, HAD 11 CARS DERAIL DUE TO BROKEN RAIL.  MAX SPEED WAS 7 MPH IN NOTCH 4, AND TRAIN WENT IN",TO EMERGENCY AT 5 MPH.  BROKEN RAIL DEFECT WAS UNNOTICEABLE OF CAMERAS AND DERAILMENT OCCURRED 55 CA,RS FROM THE HEAD END.,,,,,,,,,,,,
19,11,UP,31,SHELTON,BUFFALO,"MVPNP-07, TRAVELING WESTBOUND AT 29 MPH, STRUCK A TRACTOR TRAILER CARRYING A WIND MILL MOTOR AT THE",MP 170.23 CROSSING KEARNEY SUBDIVISION.  THE COLLISION RESULTED IN THE DERAILMENT OF THE LEAD LOCOMO,TIVE UP5481.,,,,,,,,,,,,
19,3,BNSF,29,SPRINGFIELD,GREENE,Y-SPM7321-07 DERAILED 1 LOCOMOTIVE WHILE SHOVING YARD TRACK 1298 DUE TO FAILURE TO CONTROL SHOVE MOV,E IN TURN RUNNING THROUGH AN IMPROPERLY LINED SWITCH. NO HAZARDOUS MATERIALS WERE RELEASED.,,,,,,,,,,,,,
19,2,UP,29,KANSAS CITY,JACKSON,THE YKC20R-25 WAS HUMPING A CUT OF 100 CARS OFF OF 104 TRACK WHEN THE CREW HAD TO STOP ON A HOLD POI,"SON CAR.  ONCE THAT CAR WAS RELEASED AND THE LEAD WAS CLEAR, THEY ATTEMPTED TO CONTINUE HUMPING.  WI","TH THE HUMP SYSTEM ENGAGED, THE CUT OF CARS WOULD NOT MOVE.  UPON INSPECTION, THERE WERE 2 CARS DERA","ILED DOWN IN THE CUT, NEAR THE ENGINE.",,,,,,,,,,,
19,2,KCS,29,KANSAS CITY,JACKSON,CREW FAILED TO LINE BOTH ENDS OF CROSSOVER FROM WORK LEAD TO 901 & DID NOT PROTECT SHOVE THRU SWITCH,RESULTING IN A RUN-THRU SWITCH & WHEN PULLED FORWARD THEY DERAILED.  MP 2.5 PITTSBURG SUBDIVISION,,,,,,,,,,,,,
19,2,KCS,29,KANSAS CITY,JACKSON,CPRS CREW FAILED TO SECURE TRACK 9 & THEY KICKED CARS INTO TRACK 9 & CARS ROLLED OUT THE EAST END &,"DAMAGED 2 CARS. CPRS CONSIST INCLUDED 2 KCS CARS WITH EQUIP DAMAGE OF $36,000.  MP 4 PITTSBURG SUB",,,,,,,,,,,,,
19,8,NS,29,WENTZVILLE,ST CHARLES,"DW26 WHILE SHOVING EAST WITH NS 5299, TEN EMPTIES, 545 TONS, 937 FEET DERAILED CN 712148, WHEELS R1,","R2, L1,L2, WHILE OPERATING OVER THE DIVIDE SWITCH INTO THE GENERAL MOTORS OUTBOUND RAMP.",,,,,,,,,,,,,
19,8,NS,29,WENTZVILLE,ST CHARLES,NS TRAIN D99D708 DERAILED 3 LOADED AUTO RACKS WHILE PULLING THROUGH THE EAST LEAD CROSSOVER DUE TO A,DEFECTIVE FROG.,,,,,,,,,,,,,
19,12,KCS,29,KANSAS CITY,JACKSON,"BNSF CREW RAN THRU 126 SWITCH & THEN SHOVED BACK THRU & DERAILED 2 CARS.  BNSF EQUIP DAMAGE $2,746 M",P 3 PITTSBURG SUBDIVISION,,,,,,,,,,,,,
19,11,UP,29,SEDALIA,PETTIS,WIMNTZ-01 EXPERIENCED EMERGENCY APPLICATION.  CONDUCTOR WALKED TRAIN AND FOUND HZGX7015 HAD TRUCK/BO,LSTER DAMAGE.  LEAD WHEEL TRUCK/BOLSTER HAD BROKEN AND WAS DRAGGING ON THE GROUND ON TOP OF L3.  ALL,WHEELS STAYED ON THE RAIL.,,,,,,,,,,,,
19,6,NS,37,OLD FORT,MCDOWELL,"123P805 HEADED EASTBOUND, DERAILED BNGX 020086 AND BNGX 020108.",,,,,,,,,,,,,,
19,2,MDS,28,SHUBUTA,CLARKE,TRAIN ME-WA07 WAS TRAVELING RAILROAD SOUTH FROM MERIDIAN TO WAYNESBORRO.  THE FIRST INDICATION OF A,PROBLEM WAS WHEN THE AIR BRAKES WENT TO EMERGENCY STOP.  LOOKING IN THE MIRROR THE ENGINEER CAN SEE,"CARS FALLING OFF THE TRUCK.  UPON INSPECTION, THE RAIL BROKE , PIECED THE BOTTOM OF CEFX 319391, AND",LIFTED IF OFF THE TRACK.  THE NEST FOUR CARS WHERE PULLED OFF THE TRACK.  4 RAILCARS ROLLED OVER.,1 RAIL CAR WAS RE-RAILED.  331 FT OF TRACK WAS DAMAGED.,,,,,,,,,,
19,1,KCS,28,PEARL,RANKIN,CONDUCTOR LET CARS DRIFT INSTEAD OF SHOVING TO COUPLE CARS.  THIS CAUSED CARS TO ROLL OUT ON EAST EN,D INTO SWITCH CARS BEING SWITCHED FROM EAST END.  MP 91.4 MERIDIAN SUBDIVISION,,,,,,,,,,,,,
19,1,KCS,28,JACKSON,RANKIN,CONDUCTOR LET CARS DRIFT INSTEAD OF SHOVING TO COUPLE CARS.  THIS CAUSED CARS TO ROLL OUT ON EAST EN,D INTO SWITCH CARS BEING SWITCHED FROM EAST END.  MP 91.4 MERIDIAN SUBDIVISION,,,,,,,,,,,,,
19,1,ATK,28,BROOKHAVEN,LINCOLN,TRAIN 59 OPERATING WITH LOCOMOTIVE E/173 AND 7 CARS STRUCK A TREE AT MP 778.6 CAUSING DAMAGE TO LEAD,LOCOMOTIVE E/173.  THERE WERE NO INJURIES TO REPORT.,,,,,,,,,,,,,
19,7,CSX,37,LUCAMA,WILSON,"Q47031 TRAVELING NORTH RECEIVED A HOT BOX DEFECT DETECTOR, UPON RECEIVING THE MESSAGE THE TRAIN WENT","INTO EMERGENCY, CONDUCTOR WALKED TRAIN AND FOUND THE 6TH CAR DERAILED.",,,,,,,,,,,,,
19,5,MSR,28,MONTROSE,JASPER,AT APPROX 1600 THE MSR 111 WAS HEADED SOUTH WHEN THE TRAIN WENT INTO EMERGENCY. AFTER INSPECTION OF,THE TRAIN IT WAS FOUND THAT THREE CARS HAD DERAILED CAUSED BY THE BRIDGE FAILURE UNDER THE CAR. NO H,AZ MATS INVOLVED. INCIDENT STILL UNDER INVESTIGATION.      AMENDED FIELD 37 TO INCLUDE AMOUNT FOR BR,"IDGE REPAIR,  ITEM 39 WAS LEFT BLANK BECAUSE THERE IS NO OTHER CONTRIBUTING FACTOR.",,,,,,,,,,,
19,1,GRYR,28,BATESVILLE,PANOLA,THE G200 WAS PROCEEDING SOUTH ON THE BATESVILLE SIDING AND THE ENGINEER FELT A TUG ON HIS ENGINES AN,D LOOKED IN HIS MIRROR AND SAW THE LEAD CAR WAS TURNING OVER AND PLUGGED THE TRAIN. UPON INVESTIGATA,TION FOUND 7 CARS DERAILED. AFTER INVESTIGATATION IT WAS DETERMINED THE ROAD BED WAS SOFT DUE TO EXC,ESSIVE RAIN CAUSING THE RAIL TO SPREAD.,,,,,,,,,,,
19,9,EMRY,23,BROWNVILLE,PISCATAQUIS,THE CREW CUT THE CARS OFF ON THE MAINLINE AT THE WEST END OF HARDY POND IN ORDER TO PICK UP ONE CAR,"OUT OF THE SIDING.THE CREW STATES THEY
BOTTLED THE AIR ON THE TRAIN. ONCE THE LOCOMOTIVES WERE IN T","HE SIDING, THE CARS THAT WERE LEFT ON THE MAINLINE STARTED TO ROLL WESTWARD. THE CREW
QUICKLY TRIED","TO GET BACK OUT OF THE SIDING ONTO THE WEST END OF THE MOVEMENT, BUT WHILE COMING OUT OF THE SIDING","THE CARS STRUCK THE
LOCOMOTIVES. THE GMTX 3051, NBSR 906, 002 AND NBSR 911 HAVE DAMAGE. THE WEST E","ND CAR LOADED WITH NEWSPRINT DERAILED AND IS PARTIALLY DOWN OVER THE
BANK. THE SECOND CAR A CENTER",BEAM LOADED WITH LUMBER IS UPRIGHT BUT DAMAGED. THE TRACK BELOW THE DAMAGED CENTER BEAM IS BROKEN AN,"D HAS TIE
DAMAGE.",,,,,,,
19,5,MNR,23,OAKFIELD,AROOSTOOK,"TRAIN 503 ON DUTY 1900 SQUAPAN. ENGINEER JAY MORSE CONDUCTOR DEVIN SITTZ. GMTX 2644, 211, 2226, TRAV","ELING SOUTH HAD ONE CAR DERAIL ONE WHEEL AT MILE 170.2. CAR WAS DRAGGED TO NORTH END OF SAINT CROIX,",EIGHT CARS ENDED UP ON THE GROUND.,,,,,,,,,,,,
19,7,MNR,23,FORT KENT,AROOSTOOK,CNDR LOZIER ON THE JOB 900 REPORTED THAT THEY HAD LOST AIR AND FOREMAN DJ MICHAUD HAD ALERTED THEM T,"O 4 OF THEIR CARS DERAILS. 3 LOADED CHIP CARS WERE ON THEIR SIDE, AND THE FOURTH LOADED CHIP CAR WAS",STILL UPRIGHT. THERE WERE NO INJURIES AND NO HAZMAT INVOLVED IN THE DERAILMENT. P PEVERETT WAS NOTI,"FIED WHILE WORKING WITH THE ROADMASTERS, AND RON CAMPBELL WAS NOTIFIED. THE DERAILED CARS ARE: NBSR","874041, AEX 19465, NBSR 874055, NAEX 19473. GBO WAS PLACED BETWEEN MP 244.0 AND MP 245.0 MADAWASKA S",UB BY FOREMAN DM CHOUINARD.,,,,,,,,,
19,2,EMRY,23,SEBOEIS,PENOBSCOT,"TRAIN STOPPED IN EMERGENCY, CONDUCTOR WALKED BACK TO FIND CARS 33-40 FROM THE HEAD END DERAILED. 4 E","MPTY CLAY CARS, 2 LOADED FLUX CARS, 2 LOADED BOX CARS. THE 2 ASPHALT FLUX CARS ARE PLACARDED FOR ELE",VATED TEMPRATURE.,,,,,,,,,,,,
19,6,CMQX,23,JACKMAN,SOMERSET,JOB 400 WAS PROCEEDING WESTBOUND ON THE MOOSEHEAD SUB AT APPROX. MP 66 THE CREW NOTICED A LARGE AMOU,NT OF SMOKE WHILE CHECKING THE TRAIN IN THE CURVE.  CREW BROUGHT THE TRAIN TO A CONTROLLED STOP AND,FOUND THE BURNT OFF JOURNAL AND ONE CAR DERAILED.,,,,,,,,,,,,
19,9,EMRY,23,BROWNVILLE,PISCATAQUIS,THE CREW DROPPED THEIR TRAIN ON THE MAINLINE AT THE WEST END OF HARDY POND IN ORDER TO PICK UP ONE C,AR OUT OF THE SIDING.THE CREW STATES THEY BOTTLED THE AIR ON THE TRAIN. ONCE THE LOCOMOTIVES WERE IN,"THE SIDING, THE TRAIN THAT WAS LEFT ON THE MAINLINE STARTED TO ROLL WESTWARD. THE CREW QUICKLY TRIE","D TO GET BACK OUT OF THE SIDING ONTO THE WEST END OF THE MOVEMENT, BUT WHILE COMING OUT OF THE SIDIN","G THE TRAIN STRUCK THE LOCOMOTIVES. THE GMTX 3051, NBSR 906, AND NBSR 911 HAVE DAMAGE. THE WEST END",CAR LOADED WITH NEWSPRINT DERAILED AND IS PARTIALLY DOWN OVER THE BANK. THE SECOND CAR A CENTER BEAM,LOADED WITH LUMBER IS UPRIGHT BUT DAMAGED. THE TRACK BELOW THE DAMAGED CENTER BEAM IS BROKEN AND HA,S TIE DAMAGE.,,,,,,,
19,7,CRSH,26,DETROIT,WAYNE,FL40 OPERATING ON BLVD DERAILED AND SIDESWIPED CARS ON EC24.,,,,,,,,,,,,,,
19,7,CRSH,26,DETROIT,WAYNE,FL40 OPERATING ON BLVD DERAILED AND SIDESWIPED CARS ON EC24.,,,,,,,,,,,,,,
19,3,CSX,26,DEARBORN,WAYNE,"Q32816 PULLED INTO ROUGEMERE YARD, FROM THE W/E THROUGH R07 INTO WEST 03, PD WHEEL 86TH CAR DROP IN",DUE TO INSUFFICIENT RAIL FASTNERS.,,,,,,,,,,,,,
19,8,LSRC,26,KAWKAWLIN,BAY,"301 SHOVING IN 22 LOADS INTO SPEC STONE SIDING. CONDUCTOR RIDING BOTTOM, ENGINEER STATED THAT CONDUC",TOR SHOULD WALK THE TRAIN DUE TO COMING TO A STOP WITHOUT ADDING AIR. CONDUCTOR WALKED UP FROM THE B,OTTOM AND FOUND 7 CARS OFF THE RAIL. STARTED 2 CAR LENGTHS PAST DERAIL DUE TO WIDE GAGE.,,,,,,,,,,,,
19,3,NS,26,DETROIT,WAYNE,BD91 PULLING WEST DERAILED CARS 40-46 IN THE CONSIST ACCOUNT OF RUPTURED GAGE UNDER LOAD DUE TO SATU,RATED TIES FROM STANDING WATER IN THE RUNAROUND TRACK.,,,,,,,,,,,,,
